Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
7439-95-4);.


a.2.b.  Boron or boron alloys with a
boron content of 85 % or more by weight.


Technical Note:  The natural content of
hafnium in the zirconium (typically 2% to 7%) is
counted with the zirconium.


Note:  In a multimodal particle distribution
(e.g., mixtures of different grain sizes) in which
one or more modes are controlled, the entire
powder mixture is controlled.


a.3.  Oxidizer substances usable in liquid
propellant rocket engines, as follows:


a.3.a.  Dinitrogen trioxide (CAS
10544-73-7);


a.3.b.  Nitrogen dioxide (CAS
10102-44-0) / dinitrogen tetroxide (CAS
10544-72-6);


a.3.c.  Dinitrogen pentoxide (CAS
10102-03-1);


a.3.d.  Mixed oxides of nitrogen
(MON);
a.3.e.  [Reserved];


a.3.f.  Chlorine trifluoride (ClF3).


Technical Note:  Mixed oxides of nitrogen
(MON) are solutions of nitric oxide (NO) in
dinitrogen tetroxide/nitrogen dioxide (N2O4/NO2)
that can be used in missile systems.  There are a
range of compositions that can be denoted as
MONi or MONij, where i and j are integers






representing the percentage of nitric oxide in the
mixture (e.g., MON3 contains 3% nitric oxide,
MON25 25% nitric oxide.  An upper limit is
MON40, 40% by weight).


b. Polymeric substances:


b.1.  Carboxy-terminated polybutadiene
(including carboxyl-terminated polybutadiene)
(CTPB);


b.2.  Hydroxy-terminated polybutadiene
(including hydroxyl-terminated polybutadiene)
(HTPB) (CAS 69102-90-5), except for
hydroxyl-terminated polybutadiene as specified
in USML Category V (see 22 CFR 121.1) (also
see Related Controls Note #1 for this ECCN);


b.3.  Polybutadiene acrylic acid (PBAA);


b.4.  Polybutadiene acrylic acid acrylonitrile
(PBAN) (CAS 25265-19-4 / CAS 68891-50-9);


b.5.  Polytetrahydrofuran polyethylene
glycol (TPEG).


Technical Note:  Polytetrahydrofuran
polyethylene glycol (TPEG) is a block copolymer
of poly 1,4-Butanediol (CAS 110-63-4) and
polyethylene glycol (PEG) (CAS 25322-68-3).


c.  Other propellant energetic materials,
additives, or agents:


c.1.  [Reserved]


c.2.  Triethylene glycol dinitrate (TEGDN);


c.3.  2 Nitrodiphenylamine (2-NDPA);


c.4.  Trimethylolethane trinitrate (TMETN);


c.5.  Diethylene glycol dinitrate (DEGDN).


d.  Hydrazine and derivatives as follows:


d.1.  Hydrazine (C.A.S. # 302–01–2) in
concentrations of 70% or more;










d.2.  Monomethyl hydrazine (MMH)
(C.A.S. # 60–34–4);


d.3.  Symmetrical dimethyl hydrazine
(SDMH) (C.A.S. # 540–73–8);


d.4.  Unsymmetrical dimethyl hydrazine
(UDMH) (C.A.S. # 57–14–7);


d.5.  Trimethylhydrazine (C.A.S. #
1741-01-1);


d.6.  Tetramethylhydrazine (C.A.S. #
6415-12-9);


d.7.  N,N diallylhydrazine (CAS
5164-11-4);


d.8.  Allylhydrazine (C.A.S. # 7422-78-8);


d.9.  Ethylene dihydrazine (CAS
6068-98-0);


d.10.  Monomethylhydrazine dinitrate;


d.11. Unsymmetrical dimethylhydrazine
nitrate;


d.12.  1,1-Dimethylhydrazinium azide
(CAS 227955-52-4) / 1,2-Dimethylhydrazinium
azide (CAS 299177-50-7);


d.13.  Hydrazinium azide (C.A.S. #
14546-44-2);


d.14.  Hydrazinium dinitrate (CAS
13464-98-7);


d.15.  Diimido oxalic acid dihydrazine
(C.A.S. # 3457-37-2);


d.16.  2-hydroxyethylhydrazine nitrate
(HEHN);


d.17.  Hydrazinium diperchlorate (C.A.S. #
13812-39-0);


d.18.  Methylhydrazine nitrate (MHN)
(CAS 29674-96-2);








d.19.  1,1-Diethylhydrazine nitrate (DEHN)
/ 1,2-Diethylhydrazine nitrate (DEHN) (CAS
363453-17-2);


d.20.  3,6-dihydrazino tetrazine nitrate
(DHTN), also referred to as 1,4-dihydrazine
nitrate.



"
"
1C116  Maraging steels having both of the
following (see List of Items Controlled).

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E101 ('use') for technology for items
controlled by this entry.  (2) Also see ECCN
1C216.  (3) Maraging steel, in physical
forms and finished products and 'specially
designed' or prepared for use in separating
uranium isotopes, is subject to the export
licensing authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).
Related Definitions:  N/A
Items:


a. Having an ultimate tensile strength, measured
at 20°C, equal to or greater than:








a.1.  0.9 GPa in the solution annealed
stage; or


a.2.  1.5 GPa in the precipitation hardened
stage; and


b. Any of the following forms:


b.1.  Sheet, plate or tubing with a wall or
plate thickness equal to or less than 5.0 mm; or


b.2.  Tubular forms with a wall thickness
equal to or less than 50 mm and having an inner
diameter equal to or greater than 270 mm.


Technical Note:
Maraging steels are iron alloys that are
generally:


a. Characterized by high nickel, very low
carbon content and use substitutional elements
or precipitates to produce strengthening and
age-hardening of the alloy; and


b. Subjected to heat treatment cycles to
facilitate the martensitic transformation process
(solution annealed stage) and subsequently age
hardened (precipitation hardened stage).



"
"
1C117  Materials for the fabrication of
missile 'parts' or 'components' for rockets
or missiles capable of achieving a 'range'
equal to or greater than 300 km, as follows
(see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A








CIV:  N/A

",,"
List of Items Controlled


Related Controls: See 1C226.
Related Definitions: N/A
Items:


a. Tungsten and alloys in particulate form with a
tungsten content of 97% by weight or more and a
particle size of 50 x 10-6 m (50 μm) or less;


b. Molybdenum and alloys in particulate form
with a molybdenum content of 97% by weight or
more and a particle size of 50 x 10-6 m (50 μm) or
less;


c. Tungsten materials in the solid form having all
of the following:


c.1. Any of the following material
compositions:


c.1.a. Tungsten and alloys containing
97% by weight or more of tungsten;


c.1.b. Copper infiltrated tungsten
containing 80% by weight or more of tungsten;
or


c.1.c. Silver infiltrated tungsten
containing 80% by weight or more of tungsten;
and


c.2. Able to be machined to any of the
following products:


c.2.a. Cylinders having a diameter of
120 mm or greater and a length of 50 mm or
greater;


c.2.b. Tubes having an inner diameter
of 65 mm or greater and a wall thickness of 25
mm or greater and a length of 50 mm or greater;
or


c.2.c. Blocks having a size of 120 mm
x 120 mm x 50 mm or greater.











"
"
1C118  Titanium-stabilized duplex stainless
steel (Ti-DSS), having all of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


a.  Having all of the following characteristics:


a.1.  Containing 17.0-23.0 weight percent
chromium and 4.5-7.0 weight percent nickel;


a.2.   Having a titanium content of greater
than 0.10 weight percent; and


a.3.  A ferritic-austenitic microstructure
(also referred to as a two-phase microstructure)
of which at least 10 percent is austenite by
volume (according to ASTM E-1181-87 or
national equivalents); and


b. Having any of the following forms:


b.1. Ingots or bars having a size of 100 mm or
more in each dimension;


b.2. Sheets having a width of 600 mm or
more and a thickness of 3 mm or less; or








b.3. Tubes having an outer diameter of 600
mm or more and a wall thickness of 3 mm or less.



"
"
1C202  Alloys, other than those controlled by
1C002.b.3 or 1C002.b.4 as follows (see List of
Items Controlled).","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see ECCN
1C002.  (3) Aluminum alloys and titanium
alloys, in physical forms and finished
products and 'specially designed' or
prepared for use in separating uranium
isotopes, are subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).
Related Definitions:  The phrase 'capable
of' refers to aluminum alloys and titanium
alloys either before or after heat treatment.
Items:


a.  Aluminum alloys having both of the
following characteristics:


a.1.  'Capable of' an ultimate tensile
strength of 460 MPa or more at 293 K (20 C);
and








a.2.  In the form of tubes or cylindrical solid
forms (including forgings) with an outside
diameter of more than 75 mm;


b.  Titanium alloys having both of the following
characteristics:


b.1.  'Capable of' an ultimate tensile
strength of 900 MPa or more at 293 K (20 C);
and


b.2.  In the form of tubes or cylindrical solid
forms (including forgings) with an outside
diameter of more than 75 mm.



"
"
1C210  'Fibrous or filamentary materials'
or prepregs, other than those controlled by
1C010.a, .b or .e, as follows (see List of Items
Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:    (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see
ECCNs 1C010 and 1C990.


Related Definitions:  For the purpose of this
entry, the term 'fibrous or filamentary
materials' is restricted to continuous






'monofilaments', 'yarns', 'rovings',
'tows', or 'tapes'.
Definitions for other terms used in this entry:
Filament or Monofilament is the smallest
increment of fiber, usually several μm in
diameter.
Strand is a bundle of filaments (typically
over 200) arranged approximately parallel.
Roving is a bundle (typically 12-120) of
approximately parallel strands.
Yarn is a bundle of twisted strands.
Tow is a bundle of filaments, usually
approximately parallel.
Tape is a material constructed of interlaced
or unidirectional filaments, strands, rovings,
tows or yarns, etc., usually preimpregnated
with resin.
Specific modulus is the Young’s modulus in
N/m2 divided by the specific weight in N/m3,
measured at a temperature of (296 + 2) K
((23 + 2) C) and a relative humidity of 50 +
5 percent.
Specific tensile strength is the ultimate
tensile strength in N/m2 divided by specific
weight in N/m3, measured at a temperature of
(296 + 2) K ((23 + 2) C) and a relative
humidity of 50 + 5 percent.


Items:


a. Carbon or aramid 'fibrous or filamentary
materials' having a 'specific modulus' of 12.7 x
106 m or greater or a 'specific tensile strength' of
235 x 103 m or greater except Aramid 'fibrous or
filamentary materials' having 0.25 percent or
more by weight of an ester based fiber surface
modifier;


b. Glass 'fibrous or filamentary materials'
having a 'specific modulus' of 3.18 x 106 m or
greater and a 'specific tensile strength' of 76.2 x
103 m or greater; or


c. Thermoset resin impregnated continuous
'yarns', 'rovings', 'tows' or 'tapes' with a
width no greater than 15 mm (prepregs), made
from carbon or glass 'fibrous or filamentary
materials' controlled by 1C210.a or .b.








Technical Note:  The resin forms the matrix
of the composite.



"
"
1C216  Maraging steel, other than that
controlled by 1C116, 'capable of' an ultimate
tensile strength of 1,950 MPa or more, at 293
K (20 °C).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see ECCN
1C116.  (3) Maraging steel, in physical form
and finished products 'specially designed' or
prepared for use in separating uranium
isotopes, is subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).


Related Definitions:  The phrase 'capable
of' in the ECCN heading refers to maraging
steel either before or after heat treatment.
ECCN Controls:  This entry does not control
forms in which all linear dimensions are 75
mm or less.


Items:


The list of items controlled is contained in the
ECCN heading.





"
"
1C225  Boron enriched in the boron-10 (10B)
isotope to greater than its natural isotopic
abundance, as follows:  elemental boron,
compounds, mixtures containing boron,
manufactures thereof, waste or scrap of any of
the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  In this entry, mixtures
containing boron include boron-loaded
materials.
Items:


The list of items controlled is contained in the
ECCN heading.


Technical Note:  The natural isotopic
abundance of boron-10 is approximately 18.5
weight percent (20 atom percent).



"
"
1C226  Tungsten, tungsten carbide, and
alloys containing more than 90% tungsten by
weight, having both of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
ECCN Controls:  This entry does not control
manufactures 'specially designed' as
weights or gamma-ray collimators.
Items:


a.  In forms with a hollow cylindrical symmetry
(including cylinder segments) with an inside
diameter between 100 and 300 mm; and


b.  A mass greater than 20 kg.



"
"
1C227  Calcium having both of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)








LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:


a.  Containing less than 1,000 parts per million
by weight of metallic impurities other than
magnesium; and


b.  Containing less than 10 parts per million by
weight of boron.



"
"
1C228  Magnesium having both of the
following characteristics (see List of Items
Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:








a.  Containing less than 200 parts per million by
weight of metallic impurities other than calcium;
and


b.  Containing less than 10 parts per million by
weight of boron.



"
"
1C229  Bismuth having both of the following
characteristics (see List of Items Controlled).

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:


a.  A purity of 99.99% or greater by weight; and


b.  Containing less than 10 parts per million by
weight of silver.



"
"
1C230  Beryllium metal, alloys containing
more than 50% beryllium by weight,
beryllium compounds, manufactures thereof,
and waste or scrap of any of the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
ECCN Controls:  This entry does not control
the following:
a. Metal windows for X-ray machines, or
for bore-hole logging devices;
b. Oxide shapes in fabricated or
semi-fabricated forms 'specially designed'
for electronic component parts or as
substrates for electronic circuits;
c. Beryl (silicate of beryllium and
aluminum) in the form of emeralds or
aquamarines.
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C231  Hafnium metal, hafnium alloys and
compounds containing more than 60%
hafnium by weight, manufactures thereof, and
waste or scrap of any of the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C232  Helium-3 (3He), mixtures containing
helium-3, and products or devices containing
any of the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and






1E201 ('use') for technology for items
controlled by this entry.
Related Definitions:  N/A
ECCN Controls:  This entry does not control
a product or device containing less than 1 g
of helium-3.
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C233  Lithium enriched in the lithium-6
(6Li) isotope to greater than its natural
isotopic abundance, and products or devices
containing enriched lithium, as follows:
elemental lithium, alloys, compounds,
mixtures containing lithium, manufactures
thereof, and waste or scrap of any of the
foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:   N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) See ECCN
1B233 for lithium isotope separation
facilities or plants, and equipment therefor.
(3) Certain facilities or plants for the
separation of lithium isotopes are subject to
the export licensing authority of the Nuclear








Regulatory Commission (see 10 CFR part
110).
Related Definitions:  The natural isotopic
abundance of lithium-6 is approximately 6.5
weight percent (7.5 atom percent).
ECCN Controls:  This entry does not control
thermoluminescent dosimeters.
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C234  Zirconium with a hafnium content of
less than 1 part hafnium to 500 parts
zirconium by weight, as follows:  metal,
alloys containing more than 50% zirconium
by weight, compounds, manufactures thereof,
and waste or scrap of any of the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Zirconium
metal and alloys in the form of tubes or
assemblies of tubes, 'specially designed' or
prepared for use in a reactor, are subject to
the export licensing authority of the Nuclear
Regulatory Commission (see 10 CFR part
110).
Related Definitions:  N/A






ECCN Controls:  This entry does not control
zirconium in the form of foil having a
thickness of 0.10 mm (0.004 in.) or less.
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C235 Tritium, tritium compounds, mixtures
containing tritium in which the ratio of
tritium to hydrogen atoms exceeds 1 part in
1,000, and products or devices containing any
of the foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see ECCN
1B231.  (3) Tritium that is byproduct
material (e.g., produced in a nuclear reactor)
is subject to the export licensing authority of
the Nuclear Regulatory Commission (see 10
CFR part 110).
Related Definitions:  N/A
ECCN Controls:  (1) This entry does not
control tritium, tritium compounds, and
mixtures that are byproduct material (e.g.,
produced in a nuclear reactor) – such
materials are subject to the licensing
jurisdiction of the Nuclear Regulatory
Commission (see Related Controls paragraph






for this entry).  (2) This entry does not
control a product or device containing less
than 1.48 x 103 GBq (40 Ci) of tritium.
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C236  Radionuclides appropriate for
making neutron sources based on alpha-n
reaction and products or devices containing
such radionuclides (see List of Items
Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Certain
alpha-emitting radionuclides are subject to
the export licensing authority of the Nuclear
Regulatory Commission (see 10 CFR part
110).
Related Definitions:  N/A
ECCN Controls:  This entry does not control
a product or device containing less than 3.7
GBq (100 millicuries) of activity.
Items:


a.  Radionuclides identified in 1C236.a.1 in any
of the forms described in 1C236.a.2:








a.1. Radionuclides, as follows, appropriate for
making neutron sources based on alpha-n
reactions:


a.1.a.  Actinium 225;


a.1.b.  Actinium 227;


a.1.c.  Californium 253;


a.1.d.  Curium 240;


a.1.e.  Curium 241;


a.1.f.  Curium 242;


a.1.g.  Curium 243;


a.1.h.  Curium 244;


a.1.i.  Einsteinium 253;


a.1.j.  Einsteinium 254;


a.1.k.  Gadolinium 148;


a.1.l.  Plutonium 236;


a.1.m.  Plutonium 238;


a.1.n.  Polonium 208;


a.1.o.  Polonium 209;


a.1.p.  Polonium 210;


a.1.q.  Radium 223;


a.1.r.  Thorium 227;


a.1.s.  Thorium 228;


a.1.t.  Uranium 230;


a.1.u.  Uranium 232; and


a.2. In any of the following forms:


a.2.a.  Elemental;








a.2.b.  Compounds having a total
activity of 37 GBq (1 curie) per kg or greater; or


a.2.c.  Mixtures having a total activity of
37 GBq (1 curie) per kg or greater.


b.  Products or devices containing radionuclides
identified in 1C236.a.1 in any of the forms
described in 1C236.a.2.



"
"
1C237  Radium-226 (226Ra), radium-226
alloys, radium-226 compounds, mixtures
containing radium-226, manufactures thereof,
and products or devices containing any of the
foregoing.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  See ECCNs 1E001
('development' and 'production') and 1E201
('use') for technology for items controlled by
this entry.
Related Definitions:  N/A
ECCN Controls:  This entry does not control
the following:
a. Medical applicators;
b. A product or device containing less
than 0.37 GBq (10 millicuries) of radium-226.
Items:










The list of items controlled is contained in the
ECCN heading.



"
"
1C239  High explosives, other than those
controlled by the U.S. Munitions List, or
substances or mixtures containing more than
2% by weight thereof, with a crystal density
greater than 1.8 g/cm3 and having a
detonation velocity greater than 8,000 m/s.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs
1E001 ('development' and
'production') and 1E201 ('use') for
technology for items controlled by this
entry.  (2) See ECCNs 1C608 (energetic
materials and related commodities on the
Wassenaar Arrangement Munitions List)
and 1C992 (commercial charges and
devices containing energetic materials,
n.e.s and nitrogen trifluoride in a gaseous
state).  (3) High explosives for military
use are 'subject to the ITAR' (see 22
CFR part 121.1).


Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.









"
"
1C240  Nickel powder or porous nickel
metal, specially prepared for the manufacture
of gaseous diffusion barriers subject to the
export licensing authority of the Nuclear
Regulatory Commission (see 10 CFR part
110), as follows (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs
1E001 ('development' and
'production') and 1E201 ('use') for
technology for items controlled by this
entry.  (2) Nickel powder and porous
nickel metal, 'specially designed' or
prepared for use in separating uranium
isotopes, are subject to the export
licensing authority of the Nuclear
Regulatory Commission (see 10 CFR
part 110).
Related Definitions:  N/A
ECCN Controls:  This entry does not
control the following:


a. Filamentary nickel powders;


b. Single porous nickel sheets with
an area of 1,000 cm2 per sheet or
less.
Items:










a.  Nickel powder having both of the following
characteristics:


a.1.  A nickel purity content of 99.0% or
greater by weight; and


a.2.  A mean particle size of less than 10
micrometers measured by American Society for
Testing and Materials (ASTM) B330 standard;


b.  Porous nickel metal produced from materials
controlled by 1C240.a.


Technical Note:  1C240.b refers to
porous metal formed by compacting and
sintering the materials in 1C240.a to form a
metal material with fine pores interconnected
throughout the structure.



"
"
1C241  Rhenium and alloys containing
rhenium (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 2""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)
LVS:  N/A
GBS:   N/A
CIV:   N/A

",,"
List of Items Controlled


Related Controls:  N/A
Related Definitions:  N/A
Items:


a. Rhenium and alloys containing rhenium, as
follows, having both of the characteristics










a.1.  Alloys containing 90% by weight or
more of rhenium;


a.2.  Alloys containing 90% by weight or
more of any combination of rhenium and
tungsten; and


b.  Having both of the following characteristics:


b.1.  In forms with a hollow cylindrical
symmetry (including cylinder segments) with an
inside diameter between 100 mm and 300 mm;
and


b.2.  A mass greater than 20 kg.



"
"
1C298 Graphite with a boron content of less
than 5 parts per million and a density greater
than 1.5 grams per cubic centimeter that is
intended for use other than in a nuclear
reactor.

","[[""CBappliesto\rentire entry"",""CB Column 2""],[""CW applies to\r1C350 .b, and\r.c."",""The Commerce Country Chart\risnotdesignedtodetermine\rlicensingrequirementsfor\ritemscontrolledforCW\rreasons.  A license is required,\rfor CW reasons, to export or\rreexport Schedule 2 chemicals\randmixturesidentifiedin\r1C350.b to States not Party to\rtheCWC(destinationsnot\rlisted in Supplement No. 2 to\rpart745oftheEAR).A\rlicenseisrequired,forCW\rreasons, to export Schedule 3\rchemicalsandmixtures""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: (1) See also 1C107.  (2)
Graphite having a purity level of less than 5






parts per million 'boron equivalent' as
measured according to ASTM standard
C-1233-98 and intended for use in a nuclear
reactor is subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR 110).


Related Definitions:  For the purpose of this
entry, graphite with a purity level better than
5 parts per million boron equivalent is
determined according to ASTM standard
C1233-98.  In applying ASTM standard
C1233-98, the boron equivalence of the
element carbon is not included in the boron
equivalence calculation, since carbon is not
considered an impurity.


Items:


The list of items controlled is contained in the
ECCN heading.



"
